Postnumre, kommuner og regioner, 1.1.2016		
		
Hele Landet		
		
postnumre	kommuner	regioner
1000 København K	101 København	1084 Hovedstaden
1050 København K	101 København	1084 Hovedstaden
1051 København K	101 København	1084 Hovedstaden
1052 København K	101 København	1084 Hovedstaden
1053 København K	101 København	1084 Hovedstaden
1054 København K	101 København	1084 Hovedstaden
1055 København K	101 København	1084 Hovedstaden
1056 København K	101 København	1084 Hovedstaden
1057 København K	101 København	1084 Hovedstaden
1058 København K	101 København	1084 Hovedstaden
1059 København K	101 København	1084 Hovedstaden
1060 København K	101 København	1084 Hovedstaden
1061 København K	101 København	1084 Hovedstaden
1062 København K	101 København	1084 Hovedstaden
1063 København K	101 København	1084 Hovedstaden
1064 København K	101 København	1084 Hovedstaden
1065 København K	101 København	1084 Hovedstaden
1066 København K	101 København	1084 Hovedstaden
1067 København K	101 København	1084 Hovedstaden
1068 København K	101 København	1084 Hovedstaden
1069 København K	101 København	1084 Hovedstaden
1070 København K	101 København	1084 Hovedstaden
1071 København K	101 København	1084 Hovedstaden
1072 København K	101 København	1084 Hovedstaden
1073 København K	101 København	1084 Hovedstaden
1074 København K	101 København	1084 Hovedstaden
1092 København K	101 København	1084 Hovedstaden
1093 København K	101 København	1084 Hovedstaden
1094 København K	101 København	1084 Hovedstaden
1095 København K	101 København	1084 Hovedstaden
1096 København K	101 København	1084 Hovedstaden
1097 København K	101 København	1084 Hovedstaden
1098 København K	101 København	1084 Hovedstaden
1100 København K	101 København	1084 Hovedstaden
1101 København K	101 København	1084 Hovedstaden
1102 København K	101 København	1084 Hovedstaden
1103 København K	101 København	1084 Hovedstaden
1104 København K	101 København	1084 Hovedstaden
1105 København K	101 København	1084 Hovedstaden
1106 København K	101 København	1084 Hovedstaden
1107 København K	101 København	1084 Hovedstaden
1108 København K	101 København	1084 Hovedstaden
1109 København K	101 København	1084 Hovedstaden
1110 København K	101 København	1084 Hovedstaden
1111 København K	101 København	1084 Hovedstaden
1112 København K	101 København	1084 Hovedstaden
1113 København K	101 København	1084 Hovedstaden
1114 København K	101 København	1084 Hovedstaden
1115 København K	101 København	1084 Hovedstaden
1116 København K	101 København	1084 Hovedstaden
1117 København K	101 København	1084 Hovedstaden
1118 København K	101 København	1084 Hovedstaden
1119 København K	101 København	1084 Hovedstaden
1120 København K	101 København	1084 Hovedstaden
1121 København K	101 København	1084 Hovedstaden
1122 København K	101 København	1084 Hovedstaden
1123 København K	101 København	1084 Hovedstaden
1124 København K	101 København	1084 Hovedstaden
1125 København K	101 København	1084 Hovedstaden
1126 København K	101 København	1084 Hovedstaden
1127 København K	101 København	1084 Hovedstaden
1128 København K	101 København	1084 Hovedstaden
1129 København K	101 København	1084 Hovedstaden
1130 København K	101 København	1084 Hovedstaden
1131 København K	101 København	1084 Hovedstaden
1140 København K	101 København	1084 Hovedstaden
1145 København K	101 København	1084 Hovedstaden
1146 København K	101 København	1084 Hovedstaden
1147 København K	101 København	1084 Hovedstaden
1148 København K	101 København	1084 Hovedstaden
1149 København K	101 København	1084 Hovedstaden
1150 København K	101 København	1084 Hovedstaden
1151 København K	101 København	1084 Hovedstaden
1152 København K	101 København	1084 Hovedstaden
1153 København K	101 København	1084 Hovedstaden
1154 København K	101 København	1084 Hovedstaden
1156 København K	101 København	1084 Hovedstaden
1157 København K	101 København	1084 Hovedstaden
1158 København K	101 København	1084 Hovedstaden
1159 København K	101 København	1084 Hovedstaden
1160 København K	101 København	1084 Hovedstaden
1161 København K	101 København	1084 Hovedstaden
1162 København K	101 København	1084 Hovedstaden
1163 København K	101 København	1084 Hovedstaden
1164 København K	101 København	1084 Hovedstaden
1165 København K	101 København	1084 Hovedstaden
1166 København K	101 København	1084 Hovedstaden
1167 København K	101 København	1084 Hovedstaden
1168 København K	101 København	1084 Hovedstaden
1169 København K	101 København	1084 Hovedstaden
1170 København K	101 København	1084 Hovedstaden
1171 København K	101 København	1084 Hovedstaden
1172 København K	101 København	1084 Hovedstaden
1173 København K	101 København	1084 Hovedstaden
1174 København K	101 København	1084 Hovedstaden
1175 København K	101 København	1084 Hovedstaden
1200 København K	101 København	1084 Hovedstaden
1201 København K	101 København	1084 Hovedstaden
1202 København K	101 København	1084 Hovedstaden
1203 København K	101 København	1084 Hovedstaden
1204 København K	101 København	1084 Hovedstaden
1205 København K	101 København	1084 Hovedstaden
1206 København K	101 København	1084 Hovedstaden
1207 København K	101 København	1084 Hovedstaden
1208 København K	101 København	1084 Hovedstaden
1209 København K	101 København	1084 Hovedstaden
1210 København K	101 København	1084 Hovedstaden
1211 København K	101 København	1084 Hovedstaden
1212 København K	101 København	1084 Hovedstaden
1213 København K	101 København	1084 Hovedstaden
1214 København K	101 København	1084 Hovedstaden
1215 København K	101 København	1084 Hovedstaden
1216 København K	101 København	1084 Hovedstaden
1217 København K	101 København	1084 Hovedstaden
1218 København K	101 København	1084 Hovedstaden
1219 København K	101 København	1084 Hovedstaden
1220 København K	101 København	1084 Hovedstaden
1221 København K	101 København	1084 Hovedstaden
1222 København K	101 København	1084 Hovedstaden
1240 København K	101 København	1084 Hovedstaden
1248 København K	101 København	1084 Hovedstaden
1249 København K	101 København	1084 Hovedstaden
1250 København K	101 København	1084 Hovedstaden
1251 København K	101 København	1084 Hovedstaden
1252 København K	101 København	1084 Hovedstaden
1253 København K	101 København	1084 Hovedstaden
1254 København K	101 København	1084 Hovedstaden
1255 København K	101 København	1084 Hovedstaden
1256 København K	101 København	1084 Hovedstaden
1257 København K	101 København	1084 Hovedstaden
1258 København K	101 København	1084 Hovedstaden
1259 København K	101 København	1084 Hovedstaden
1260 København K	101 København	1084 Hovedstaden
1261 København K	101 København	1084 Hovedstaden
1262 København K	101 København	1084 Hovedstaden
1263 København K	101 København	1084 Hovedstaden
1264 København K	101 København	1084 Hovedstaden
1265 København K	101 København	1084 Hovedstaden
1266 København K	101 København	1084 Hovedstaden
1267 København K	101 København	1084 Hovedstaden
1268 København K	101 København	1084 Hovedstaden
1269 København K	101 København	1084 Hovedstaden
1270 København K	101 København	1084 Hovedstaden
1271 København K	101 København	1084 Hovedstaden
1300 København K	101 København	1084 Hovedstaden
1301 København K	101 København	1084 Hovedstaden
1302 København K	101 København	1084 Hovedstaden
1303 København K	101 København	1084 Hovedstaden
1304 København K	101 København	1084 Hovedstaden
1305 København K	101 København	1084 Hovedstaden
1306 København K	101 København	1084 Hovedstaden
1307 København K	101 København	1084 Hovedstaden
1308 København K	101 København	1084 Hovedstaden
1309 København K	101 København	1084 Hovedstaden
1310 København K	101 København	1084 Hovedstaden
1311 København K	101 København	1084 Hovedstaden
1312 København K	101 København	1084 Hovedstaden
1313 København K	101 København	1084 Hovedstaden
1314 København K	101 København	1084 Hovedstaden
1315 København K	101 København	1084 Hovedstaden
1316 København K	101 København	1084 Hovedstaden
1317 København K	101 København	1084 Hovedstaden
1318 København K	101 København	1084 Hovedstaden
1319 København K	101 København	1084 Hovedstaden
1320 København K	101 København	1084 Hovedstaden
1321 København K	101 København	1084 Hovedstaden
1322 København K	101 København	1084 Hovedstaden
1323 København K	101 København	1084 Hovedstaden
1324 København K	101 København	1084 Hovedstaden
1325 København K	101 København	1084 Hovedstaden
1326 København K	101 København	1084 Hovedstaden
1327 København K	101 København	1084 Hovedstaden
1328 København K	101 København	1084 Hovedstaden
1329 København K	101 København	1084 Hovedstaden
1347 København K	101 København	1084 Hovedstaden
1348 København K	101 København	1084 Hovedstaden
1349 København K	101 København	1084 Hovedstaden
1350 København K	101 København	1084 Hovedstaden
1351 København K	101 København	1084 Hovedstaden
1352 København K	101 København	1084 Hovedstaden
1353 København K	101 København	1084 Hovedstaden
1354 København K	101 København	1084 Hovedstaden
1355 København K	101 København	1084 Hovedstaden
1356 København K	101 København	1084 Hovedstaden
1357 København K	101 København	1084 Hovedstaden
1358 København K	101 København	1084 Hovedstaden
1359 København K	101 København	1084 Hovedstaden
1360 København K	101 København	1084 Hovedstaden
1361 København K	101 København	1084 Hovedstaden
1362 København K	101 København	1084 Hovedstaden
1363 København K	101 København	1084 Hovedstaden
1364 København K	101 København	1084 Hovedstaden
1365 København K	101 København	1084 Hovedstaden
1366 København K	101 København	1084 Hovedstaden
1367 København K	101 København	1084 Hovedstaden
1368 København K	101 København	1084 Hovedstaden
1369 København K	101 København	1084 Hovedstaden
1370 København K	101 København	1084 Hovedstaden
1371 København K	101 København	1084 Hovedstaden
1372 København K	101 København	1084 Hovedstaden
1373 København K	101 København	1084 Hovedstaden
1374 København K	101 København	1084 Hovedstaden
1374 København K	101 København	1084 Hovedstaden
1375 København K	101 København	1084 Hovedstaden
1376 København K	101 København	1084 Hovedstaden
1377 København K	101 København	1084 Hovedstaden
1378 København K	101 København	1084 Hovedstaden
1379 København K	101 København	1084 Hovedstaden
1380 København K	101 København	1084 Hovedstaden
1381 København K	101 København	1084 Hovedstaden
1382 København K	101 København	1084 Hovedstaden
1383 København K	101 København	1084 Hovedstaden
1384 København K	101 København	1084 Hovedstaden
1385 København K	101 København	1084 Hovedstaden
1386 København K	101 København	1084 Hovedstaden
1387 København K	101 København	1084 Hovedstaden
1388 København K	101 København	1084 Hovedstaden
1389 København K	101 København	1084 Hovedstaden
1390 København K	101 København	1084 Hovedstaden
1391 København K	101 København	1084 Hovedstaden
1392 København K	101 København	1084 Hovedstaden
1393 København K	101 København	1084 Hovedstaden
1394 København K	101 København	1084 Hovedstaden
1395 København K	101 København	1084 Hovedstaden
1396 København K	101 København	1084 Hovedstaden
1397 København K	101 København	1084 Hovedstaden
1398 København K	101 København	1084 Hovedstaden
1399 København K	101 København	1084 Hovedstaden
1400 København K	101 København	1084 Hovedstaden
1401 København K	101 København	1084 Hovedstaden
1402 København K	101 København	1084 Hovedstaden
1403 København K	101 København	1084 Hovedstaden
1404 København K	101 København	1084 Hovedstaden
1405 København K	101 København	1084 Hovedstaden
1406 København K	101 København	1084 Hovedstaden
1407 København K	101 København	1084 Hovedstaden
1408 København K	101 København	1084 Hovedstaden
1409 København K	101 København	1084 Hovedstaden
1410 København K	101 København	1084 Hovedstaden
1411 København K	101 København	1084 Hovedstaden
1412 København K	101 København	1084 Hovedstaden
1413 København K	101 København	1084 Hovedstaden
1414 København K	101 København	1084 Hovedstaden
1415 København K	101 København	1084 Hovedstaden
1416 København K	101 København	1084 Hovedstaden
1417 København K	101 København	1084 Hovedstaden
1418 København K	101 København	1084 Hovedstaden
1419 København K	101 København	1084 Hovedstaden
1420 København K	101 København	1084 Hovedstaden
1421 København K	101 København	1084 Hovedstaden
1422 København K	101 København	1084 Hovedstaden
1423 København K	101 København	1084 Hovedstaden
1424 København K	101 København	1084 Hovedstaden
1425 København K	101 København	1084 Hovedstaden
1426 København K	101 København	1084 Hovedstaden
1427 København K	101 København	1084 Hovedstaden
1428 København K	101 København	1084 Hovedstaden
1429 København K	101 København	1084 Hovedstaden
1430 København K	101 København	1084 Hovedstaden
1431 København K	101 København	1084 Hovedstaden
1432 København K	101 København	1084 Hovedstaden
1433 København K	101 København	1084 Hovedstaden
1434 København K	101 København	1084 Hovedstaden
1435 København K	101 København	1084 Hovedstaden
1436 København K	101 København	1084 Hovedstaden
1437 København K	101 København	1084 Hovedstaden
1438 København K	101 København	1084 Hovedstaden
1439 København K	101 København	1084 Hovedstaden
1440 København K	101 København	1084 Hovedstaden
1441 København K	101 København	1084 Hovedstaden
1442 København K	101 København	1084 Hovedstaden
1443 København K	101 København	1084 Hovedstaden
1444 København K	101 København	1084 Hovedstaden
1445 København K	101 København	1084 Hovedstaden
1446 København K	101 København	1084 Hovedstaden
1447 København K	101 København	1084 Hovedstaden
1448 København K	101 København	1084 Hovedstaden
1449 København K	101 København	1084 Hovedstaden
1450 København K	101 København	1084 Hovedstaden
1451 København K	101 København	1084 Hovedstaden
1452 København K	101 København	1084 Hovedstaden
1453 København K	101 København	1084 Hovedstaden
1454 København K	101 København	1084 Hovedstaden
1455 København K	101 København	1084 Hovedstaden
1456 København K	101 København	1084 Hovedstaden
1457 København K	101 København	1084 Hovedstaden
1458 København K	101 København	1084 Hovedstaden
1459 København K	101 København	1084 Hovedstaden
1460 København K	101 København	1084 Hovedstaden
1461 København K	101 København	1084 Hovedstaden
1462 København K	101 København	1084 Hovedstaden
1463 København K	101 København	1084 Hovedstaden
1464 København K	101 København	1084 Hovedstaden
1465 København K	101 København	1084 Hovedstaden
1466 København K	101 København	1084 Hovedstaden
1467 København K	101 København	1084 Hovedstaden
1468 København K	101 København	1084 Hovedstaden
1469 København K	101 København	1084 Hovedstaden
1470 København K	101 København	1084 Hovedstaden
1471 København K	101 København	1084 Hovedstaden
1472 København K	101 København	1084 Hovedstaden
1473 København K	101 København	1084 Hovedstaden
1500 København V	101 København	1084 Hovedstaden
1500 København V	101 København	1084 Hovedstaden
1501 København V	101 København	1084 Hovedstaden
1502 København V	101 København	1084 Hovedstaden
1503 København V	101 København	1084 Hovedstaden
1504 København V	101 København	1084 Hovedstaden
1505 København V	101 København	1084 Hovedstaden
1506 København V	101 København	1084 Hovedstaden
1507 København V	101 København	1084 Hovedstaden
1508 København V	101 København	1084 Hovedstaden
1509 København V	101 København	1084 Hovedstaden
1510 København V	101 København	1084 Hovedstaden
1527 København V	101 København	1084 Hovedstaden
1529 København V	101 København	1084 Hovedstaden
1532 København V	101 København	1084 Hovedstaden
1533 København V	101 København	1084 Hovedstaden
1541 København V	101 København	1084 Hovedstaden
1550 København V	101 København	1084 Hovedstaden
1551 København V	101 København	1084 Hovedstaden
1552 København V	101 København	1084 Hovedstaden
1553 København V	101 København	1084 Hovedstaden
1554 København V	101 København	1084 Hovedstaden
1555 København V	101 København	1084 Hovedstaden
1556 København V	101 København	1084 Hovedstaden
1557 København V	101 København	1084 Hovedstaden
1558 København V	101 København	1084 Hovedstaden
1559 København V	101 København	1084 Hovedstaden
1560 København V	101 København	1084 Hovedstaden
1561 København V	101 København	1084 Hovedstaden
1562 København V	101 København	1084 Hovedstaden
1563 København V	101 København	1084 Hovedstaden
1564 København V	101 København	1084 Hovedstaden
1565 København V	101 København	1084 Hovedstaden
1566 København V	101 København	1084 Hovedstaden
1567 København V	101 København	1084 Hovedstaden
1568 København V	101 København	1084 Hovedstaden
1569 København V	101 København	1084 Hovedstaden
1570 København V	101 København	1084 Hovedstaden
1571 København V	101 København	1084 Hovedstaden
1572 København V	101 København	1084 Hovedstaden
1573 København V	101 København	1084 Hovedstaden
1574 København V	101 København	1084 Hovedstaden
1575 København V	101 København	1084 Hovedstaden
1576 København V	101 København	1084 Hovedstaden
1577 København V	101 København	1084 Hovedstaden
1583 København V	101 København	1084 Hovedstaden
1590 København V	101 København	1084 Hovedstaden
1592 København V	101 København	1084 Hovedstaden
1593 København V	101 København	1084 Hovedstaden
1594 København V	101 København	1084 Hovedstaden
1595 København V	101 København	1084 Hovedstaden
1596 København V	101 København	1084 Hovedstaden
1597 København V	101 København	1084 Hovedstaden
1598 København V	101 København	1084 Hovedstaden
1599 København V	101 København	1084 Hovedstaden
1600 København V	101 København	1084 Hovedstaden
1601 København V	101 København	1084 Hovedstaden
1602 København V	101 København	1084 Hovedstaden
1603 København V	101 København	1084 Hovedstaden
1604 København V	101 København	1084 Hovedstaden
1605 København V	101 København	1084 Hovedstaden
1606 København V	101 København	1084 Hovedstaden
1607 København V	101 København	1084 Hovedstaden
1608 København V	101 København	1084 Hovedstaden
1609 København V	101 København	1084 Hovedstaden
1610 København V	101 København	1084 Hovedstaden
1611 København V	101 København	1084 Hovedstaden
1612 København V	101 København	1084 Hovedstaden
1613 København V	101 København	1084 Hovedstaden
1614 København V	101 København	1084 Hovedstaden
1615 København V	101 København	1084 Hovedstaden
1616 København V	101 København	1084 Hovedstaden
1617 København V	101 København	1084 Hovedstaden
1618 København V	101 København	1084 Hovedstaden
1619 København V	101 København	1084 Hovedstaden
1620 København V	101 København	1084 Hovedstaden
1621 København V	101 København	1084 Hovedstaden
1622 København V	101 København	1084 Hovedstaden
1623 København V	101 København	1084 Hovedstaden
1624 København V	101 København	1084 Hovedstaden
1630 København V	101 København	1084 Hovedstaden
1631 København V	101 København	1084 Hovedstaden
1632 København V	101 København	1084 Hovedstaden
1633 København V	101 København	1084 Hovedstaden
1634 København V	101 København	1084 Hovedstaden
1635 København V	101 København	1084 Hovedstaden
1639 København V	101 København	1084 Hovedstaden
1640 København V	101 København	1084 Hovedstaden
1648 København V	101 København	1084 Hovedstaden
1650 København V	101 København	1084 Hovedstaden
1651 København V	101 København	1084 Hovedstaden
1652 København V	101 København	1084 Hovedstaden
1653 København V	101 København	1084 Hovedstaden
1654 København V	101 København	1084 Hovedstaden
1655 København V	101 København	1084 Hovedstaden
1656 København V	101 København	1084 Hovedstaden
1657 København V	101 København	1084 Hovedstaden
1658 København V	101 København	1084 Hovedstaden
1659 København V	101 København	1084 Hovedstaden
1660 København V	101 København	1084 Hovedstaden
1661 København V	101 København	1084 Hovedstaden
1662 København V	101 København	1084 Hovedstaden
1663 København V	101 København	1084 Hovedstaden
1664 København V	101 København	1084 Hovedstaden
1665 København V	101 København	1084 Hovedstaden
1666 København V	101 København	1084 Hovedstaden
1667 København V	101 København	1084 Hovedstaden
1668 København V	101 København	1084 Hovedstaden
1669 København V	101 København	1084 Hovedstaden
1670 København V	101 København	1084 Hovedstaden
1671 København V	101 København	1084 Hovedstaden
1672 København V	101 København	1084 Hovedstaden
1673 København V	101 København	1084 Hovedstaden
